0  -0.0511522388765 0  -0.049676609982 0    0.00572031583492 0  0.00781671960738 0
155  -0.0573776020577 0  -0.0577185634856 0    -0.0091739669138 0  -0.00680183968778 0
285  -0.0626298812743 0  -0.0603479274127 0    -0.0191379367256 0  -0.0188203608002 0
285  -0.0606226229793 0  -0.0582356657426 0    -0.0167271971064 0  -0.0144050566283 0
571  -0.0666955318633 0  -0.0660030776329 0    -0.0343005061832 0  -0.0337974752663 0
571  -0.0665180140408 0  -0.0653118457807 0    -0.0257774701786 0  -0.0254038681088 0
698  -0.0680255410675 0  -0.0688937028615 0    -0.0363161388081 0  -0.0368573650798 0
856  -0.0683708797376 0  -0.067297638879 0    -0.0384355852968 0  -0.0359642111931 0
856  -0.0675537947533 0  -0.061458838564 0    -0.0337687503128 0  -0.0354296519311 0
# sig_sc 0.88
0  -0.0500177931664 0  -0.0498469867136 0    0.00408638746534 0  0.0076516473368 0
856  -0.0680258756112 0  -0.0661954545491 0    -0.0391409545632 0  -0.0377706271221 0
# sig_sc 0.89
0  -0.049322100705 0  -0.0457002928677 0    0.00985133886847 0  0.00711054604117 0
856  -0.064925185649 0  -0.0616906117363 0    -0.0310944623507 0  -0.032975159728 0
