#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2500,-140601.104534,315.600804594,0
5000,-140490.904412,318.434218214,433
7500,-141159.824402,315.388720512,432
10000,-141573.992736,316.141920888,432
12500,-141076.6646,311.470785571,432
15000,-140972.35782,315.987670003,431
17500,-140595.37308,314.658189285,431
20000,-140759.453345,313.367746875,431
22500,-140775.125614,314.75267736,431
25000,-140767.516901,316.875993579,431
27500,-141412.580045,318.960541412,431
30000,-141514.559682,309.265951071,430
32500,-141084.372698,312.218176244,430
35000,-141189.123924,314.808146572,430
37500,-140864.951561,314.3140622,430
40000,-141327.379449,312.993725827,430
42500,-140591.419134,311.530697758,429
45000,-140213.382195,316.912293853,429
47500,-140579.20134,314.959787822,428
50000,-141022.292233,313.445270658,428
52500,-141413.231238,314.975605804,426
55000,-140432.342158,314.18607081,423
57500,-141100.904505,310.680107032,421
60000,-141256.078934,315.051674117,418
62500,-140917.551742,315.007459494,415
65000,-141133.582045,309.386941788,412
67500,-140992.354226,316.265103539,410
70000,-140683.033344,312.915160682,407
72500,-140635.723034,313.538142737,405
75000,-141007.235826,319.43634249,403
77500,-140130.660232,313.006097945,402
80000,-141045.135745,314.082737853,401
82500,-141553.521045,316.122945766,401
85000,-140185.857701,312.050676351,400
87500,-140720.283145,319.837967144,399
90000,-140618.874219,309.562928028,399
92500,-141639.720286,315.489934291,398
95000,-141776.268178,311.406666565,397
97500,-141552.35096,314.7006886,397
100000,-141048.132327,313.940077841,397
102500,-141706.88745,318.463760282,396
105000,-141036.772068,311.27847139,396
107500,-140673.152421,313.438936903,395
110000,-142370.562639,313.226240989,395
112500,-141132.202331,313.292375683,395
115000,-140688.585389,316.246366044,394
117500,-140796.499684,314.659253567,394
120000,-141856.496808,314.088310172,393
122500,-140043.562438,317.425693424,393
125000,-140623.953939,316.667791436,392
127500,-140360.266926,312.69664151,392
130000,-141164.167811,318.164072154,391
132500,-141408.643525,311.400600037,390
135000,-140883.132096,315.771789304,390
137500,-140395.155289,313.479066615,389
140000,-140033.22544,314.732626602,389
142500,-141179.363259,315.830472755,388
145000,-140836.985133,315.033980453,388
147500,-141117.04788,314.749545399,388
150000,-140719.909995,315.802992196,388
152500,-141491.059295,313.329382803,387
155000,-141248.936982,313.138576062,387
157500,-141253.563123,312.741456469,387
160000,-140915.700351,311.005846469,387
162500,-140177.810894,313.212518155,386
165000,-140879.300431,315.929695233,386
167500,-141021.700928,312.687077239,386
170000,-142031.813025,313.673590027,386
172500,-140637.530647,316.856014698,385
175000,-141403.612999,316.850938731,385
177500,-140934.359682,313.960398777,385
180000,-141596.128605,316.066293304,385
182500,-141428.616174,317.680310506,384
185000,-141226.529387,314.25257001,384
187500,-140957.136231,313.462448267,383
190000,-139900.459589,312.280271905,383
192500,-139116.708603,315.818870369,383
195000,-140526.942786,316.050232547,383
197500,-140883.473481,313.972556336,383
200000,-140434.653106,318.153755722,383
202500,-140088.445935,313.494823687,382
205000,-140834.163913,313.313462249,382
207500,-140416.598795,310.488800781,382
210000,-140740.193186,318.502737298,382
212500,-141540.645995,311.221768423,382
215000,-140106.276577,313.73259787,381
217500,-140731.474402,313.526539507,381
220000,-141152.263797,311.751549861,381
222500,-140537.297603,313.753005111,380
225000,-140608.622786,317.035277566,380
227500,-141729.970219,313.339980747,380
230000,-140724.424856,310.620111037,380
232500,-140533.907413,314.284226042,379
235000,-140227.584345,312.994648619,379
237500,-140992.672835,311.743638919,379
240000,-139656.875669,313.559482255,379
242500,-139817.409573,319.454931152,379
245000,-140865.521669,317.017415898,379
247500,-140875.882445,315.484485947,379
250000,-140865.87493,319.496925225,378
252500,-140311.627462,315.827532146,378
255000,-140377.586681,317.092593319,378
257500,-140297.735285,310.980087294,378
260000,-140628.999903,313.122788825,378
262500,-141154.848891,314.936574997,378
265000,-140200.657124,310.543550045,377
267500,-139854.269511,318.130299055,377
270000,-140524.828029,315.16476863,377
272500,-140126.213394,317.959433626,377
275000,-140355.068556,312.010169635,377
277500,-141597.492582,315.147838375,377
280000,-141494.176708,313.894063238,377
282500,-140504.457046,309.477479318,376
285000,-140134.213173,313.948005285,376
287500,-139892.953918,310.070667435,376
290000,-140455.240425,317.454757178,376
292500,-140604.937928,313.188675418,376
295000,-140353.38876,309.14890926,376
297500,-140316.534969,313.721919315,376
300000,-140697.582635,313.634014246,376
302500,-141277.0963,315.338024435,375
305000,-140848.499172,311.490633006,375
307500,-140555.22837,317.302610956,375
310000,-141054.047492,311.799087666,375
312500,-140362.045522,308.413040621,375
315000,-140930.80445,316.325173166,375
317500,-140092.709885,315.256384369,375
320000,-140214.733498,314.312389264,374
322500,-141063.637607,316.557526143,374
325000,-141616.778178,312.482614489,374
327500,-141033.042396,316.602946181,374
330000,-141585.517723,311.499253514,374
332500,-140369.469429,313.810903744,374
335000,-140831.327043,315.034756839,374
337500,-140637.760202,316.71797308,374
340000,-140244.230103,311.614841315,374
342500,-141216.752336,314.325851796,374
345000,-141079.97953,312.135261436,373
347500,-141560.612447,311.128257721,373
350000,-141219.68718,316.203388505,373
352500,-140588.135158,310.487887915,373
355000,-140487.589461,312.196230662,373
357500,-140777.80291,309.488017633,373
360000,-140516.886153,317.333111642,373
362500,-141189.516911,319.162810796,372
365000,-141301.015956,315.497854863,372
367500,-141261.703211,314.439041198,372
370000,-140575.37532,312.07358214,372
372500,-141414.988264,316.122704941,372
375000,-141231.254259,316.953283639,372
377500,-140791.684814,312.021770472,372
380000,-141571.793386,314.768460439,372
382500,-141003.337166,316.512399433,372
385000,-140547.805132,314.100498761,372
387500,-140690.313721,313.476944143,372
390000,-140668.006282,314.481849668,371
392500,-141148.790279,309.828905211,371
395000,-140987.637926,310.242799042,371
397500,-141481.980007,315.664234306,371
400000,-141683.093259,309.578988435,371
402500,-140365.063485,314.190638184,371
405000,-140647.422135,319.80767833,371
407500,-140958.802686,313.603081864,371
410000,-140860.158394,313.872370827,371
412500,-142325.598047,313.365554425,371
415000,-141095.549808,314.405987941,371
417500,-141065.435831,313.547722425,371
420000,-141027.661445,313.665949308,371
422500,-141154.32799,311.189690582,371
425000,-142034.335277,313.02091688,371
427500,-141050.384096,313.454004861,370
430000,-140019.496837,315.814464793,370
432500,-141093.255791,316.080797384,370
435000,-141292.115126,314.996564006,370
437500,-140897.591785,317.982876205,370
440000,-140716.285048,314.849495803,370
442500,-140914.314229,315.458511172,370
445000,-140760.874749,317.903928947,370
447500,-140306.535373,318.860696059,370
450000,-140773.391989,315.257259361,370
452500,-141736.477073,313.300227672,370
455000,-140830.754821,318.278480974,370
457500,-140471.844312,314.182660853,370
460000,-141287.418582,313.425334863,370
462500,-140511.977426,317.631894067,370
465000,-141521.232241,314.402351937,370
467500,-141085.645865,309.969072025,370
470000,-140878.223572,315.55551658,370
472500,-141197.492207,315.691974175,370
475000,-141502.032781,312.464196914,370
477500,-141086.329227,315.580223052,370
480000,-140810.123162,316.10457555,370
