#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2500,-136585.139264,314.390136211,0
5000,-136752.326422,315.525365909,426
7500,-136609.603206,315.835998503,426
10000,-135952.090065,313.88041046,426
12500,-136106.846588,311.797566645,425
15000,-135672.858592,315.557476584,425
17500,-136015.58864,320.146021617,425
20000,-136060.493652,316.887186575,426
22500,-136410.756799,316.468146462,426
25000,-136072.407579,313.250639644,426
27500,-136080.220759,313.964123252,425
30000,-136465.390671,310.526263321,426
32500,-135859.610532,318.679534131,425
35000,-135945.148336,313.270766484,425
37500,-136336.425112,315.452146039,424
40000,-136481.262609,315.386281233,424
42500,-136303.896526,312.779862139,424
45000,-135814.57584,315.824634404,423
47500,-136054.784615,314.939665941,420
50000,-135562.641942,314.342461294,418
52500,-135089.519135,310.794387372,416
55000,-136605.547683,310.667141307,414
57500,-135510.182868,314.332418923,413
60000,-136436.628239,315.888009499,411
62500,-136131.325084,309.740416604,410
65000,-135369.954041,312.276170253,408
67500,-136134.898429,313.495791862,407
70000,-135286.065254,312.342869985,406
72500,-136335.136678,315.963735089,405
75000,-135818.644914,312.581386199,404
77500,-136502.236284,314.622431168,403
80000,-136194.997262,316.397447611,402
82500,-135573.39073,314.259261988,401
85000,-135442.237754,313.554445278,400
87500,-135762.066117,317.199684695,399
90000,-136003.629165,314.249428925,399
92500,-136637.206601,314.13144813,398
95000,-136665.199946,313.406260882,397
97500,-136033.745524,315.614280706,397
100000,-136387.87292,308.104220257,396
102500,-135807.741093,314.293092261,396
105000,-136101.856673,312.780310654,395
107500,-136688.775087,313.113767302,395
110000,-136211.609532,316.137022825,394
112500,-136643.573033,315.457952728,394
115000,-135781.540585,313.167602158,394
117500,-135832.577599,318.317046859,393
120000,-135593.033959,312.084362078,393
122500,-136008.800161,315.562583926,393
125000,-135609.198322,315.478906825,392
127500,-135988.873394,314.885057452,392
130000,-135772.892018,309.951299955,392
132500,-136726.778538,313.73919537,391
135000,-135787.842082,313.44342338,391
137500,-136675.119423,310.841077457,390
140000,-134851.332538,315.764632511,390
142500,-135751.167657,312.337566108,390
145000,-135945.528144,316.6421952,389
147500,-135259.033998,314.530840296,389
150000,-136412.946207,314.943581332,388
152500,-135602.984246,312.873402763,388
155000,-135755.128617,314.995821658,387
157500,-135584.657098,315.223875847,387
160000,-135461.827383,314.475360966,387
162500,-135696.365745,313.313184971,386
165000,-135380.152655,313.647346834,386
167500,-136363.102864,312.039230903,386
170000,-135611.46581,314.53721054,386
172500,-136096.068007,316.603313459,385
175000,-136129.755748,314.562604897,385
177500,-136016.844414,317.213456146,385
180000,-135118.45186,316.165447123,385
182500,-135643.041668,316.900035651,384
185000,-135981.764944,313.030404116,384
187500,-135872.739042,312.192891288,384
190000,-134960.574225,313.322173158,384
192500,-136997.924245,315.576458121,384
195000,-135264.7034,316.127453812,384
197500,-135605.074552,314.082423332,384
200000,-135896.189992,313.238530152,383
202500,-135507.428526,319.663036958,383
205000,-136320.940555,317.668872121,383
207500,-135648.556462,316.283274334,383
210000,-136136.619222,313.113519588,383
212500,-137111.003844,311.0164395,383
215000,-135493.625439,312.809976864,383
217500,-136514.853983,315.901242629,382
220000,-136681.769373,315.451488237,382
222500,-136031.548644,315.128936051,382
225000,-136439.71176,312.16106729,382
227500,-135610.23568,314.19321001,382
230000,-136518.527887,314.495796884,381
232500,-135734.073983,313.31521592,381
235000,-135136.126428,314.497530745,381
237500,-136578.523163,317.405672534,381
240000,-135630.882361,312.196672654,381
242500,-136601.633154,311.402586282,381
245000,-134920.828741,310.855972751,380
247500,-136328.966347,313.81193741,380
250000,-135791.512942,313.444323005,380
252500,-135797.156282,314.706134223,380
255000,-135466.56801,312.955836048,380
257500,-135648.388902,310.804430761,380
260000,-135579.933325,315.801833328,379
262500,-135696.990047,313.588492893,379
265000,-136464.649882,314.198508618,379
267500,-136937.295765,312.354915991,379
270000,-135785.361168,313.388688312,379
272500,-135574.586432,317.881096571,379
275000,-136166.49209,313.858888198,378
277500,-134950.19476,318.077180773,378
280000,-135534.408397,314.321947554,378
282500,-134707.267309,315.522100099,378
285000,-137532.768177,314.863212715,378
287500,-135462.400198,313.209212773,378
290000,-135907.741419,312.669942839,377
292500,-135875.510692,309.438010732,377
295000,-136252.675356,317.19340002,377
