#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2500,-120117.377007,310.58191556,0
5000,-120895.623506,315.543831179,436
7500,-119862.221428,314.973372378,435
10000,-119520.116289,319.301889744,435
12500,-119831.671151,315.483802863,435
15000,-120405.213828,311.833673905,435
17500,-120877.01716,312.665726273,434
20000,-120979.614968,314.896413187,434
22500,-120549.722096,312.244266183,434
25000,-120309.919215,315.589746734,434
27500,-120360.51299,311.663950654,434
30000,-119202.059443,318.937588422,434
32500,-119719.063643,315.839644005,434
35000,-120616.853609,316.154936303,434
37500,-119868.500302,321.009008166,433
40000,-120074.858706,313.56666909,433
42500,-120070.551162,316.204618507,432
45000,-119121.224521,314.772809646,432
47500,-120793.465869,314.270064809,432
50000,-119506.558183,319.158376447,430
52500,-120630.598721,315.131334586,427
55000,-120604.594342,313.581660796,423
57500,-119863.049435,314.279514284,420
60000,-119333.448166,314.576811743,417
62500,-120847.769283,314.679652101,415
65000,-120109.629161,311.600465921,413
67500,-119498.894952,315.198487428,411
70000,-119878.655866,312.795693962,409
72500,-119857.727527,315.190957484,407
75000,-119618.12156,317.245366869,406
77500,-119708.301827,314.756270034,404
80000,-119531.510106,315.366940246,403
82500,-120129.227326,312.456434454,402
85000,-119943.359841,315.338654686,400
87500,-120385.706098,310.818469289,399
90000,-120855.08304,312.043571827,398
92500,-119782.488276,317.159447352,397
95000,-120091.678323,312.904723672,396
97500,-119306.555951,317.898735282,395
100000,-120516.437031,315.01796415,395
102500,-120650.454556,316.17174437,394
105000,-119838.956442,313.883441018,393
107500,-119876.961598,317.093418947,393
110000,-120318.156462,312.98506015,392
112500,-119519.162652,310.100604492,392
115000,-120132.696446,312.336703534,391
117500,-119814.101834,314.57176697,391
120000,-119885.271049,313.976404565,390
122500,-119666.227866,315.021179637,389
125000,-120496.813343,313.795706678,389
127500,-120036.051896,314.542213695,388
130000,-118865.045747,315.806338506,388
132500,-119900.455714,313.698543955,388
135000,-120272.154023,313.717891041,387
137500,-119346.637909,314.019826065,387
140000,-120010.99871,317.987582126,386
142500,-120113.906537,318.542059637,386
145000,-119426.255256,315.38358535,386
147500,-119044.304151,317.338946195,385
150000,-120081.658192,314.238423417,385
152500,-120219.187089,313.780739236,385
155000,-119595.888475,316.107752996,384
157500,-119401.802436,315.99431892,384
160000,-120901.689921,314.249642985,384
162500,-119966.977846,313.361861282,383
165000,-119304.680986,313.63429409,383
167500,-120404.492252,313.650446358,383
170000,-119809.55642,313.746308939,383
172500,-119681.512204,312.751552034,382
175000,-119832.665942,311.537112047,382
177500,-119836.394557,313.289924874,382
180000,-119907.439177,312.502855268,382
182500,-119766.790953,315.178627724,381
185000,-119762.239217,316.152779379,381
187500,-119092.937174,312.74367263,381
190000,-119433.488849,314.579085848,381
192500,-120220.13081,310.138767159,381
195000,-119956.310417,312.108879445,380
197500,-120354.319394,313.648492924,380
200000,-119660.41887,311.512537681,380
202500,-120174.907177,312.709744275,380
205000,-120706.249239,312.767951236,380
207500,-120695.420057,318.653377181,379
210000,-120512.803386,310.806935677,379
212500,-119564.588385,316.671487409,379
215000,-119593.781676,310.108984991,379
217500,-120217.942132,312.921666147,379
220000,-120157.013538,317.516131674,379
222500,-120178.876473,317.520659226,378
225000,-120702.279765,313.745790226,378
227500,-119794.058208,313.828838794,378
230000,-119331.72393,316.44943612,378
232500,-119731.13437,314.981093563,378
235000,-119929.14862,315.829341297,378
237500,-120444.444992,312.902431826,378
240000,-119439.510567,312.273004954,377
242500,-120951.009671,315.325269262,377
245000,-120407.731471,317.579320457,377
247500,-120434.703566,312.912820198,377
250000,-120549.209369,313.005233624,377
252500,-119932.36284,316.320186985,377
255000,-119659.572347,310.513562451,377
257500,-120176.248597,314.793752041,377
260000,-119859.557261,318.843516329,376
262500,-119508.047115,319.929077394,376
265000,-121102.085181,313.044652154,376
267500,-119870.957165,317.494162367,376
270000,-119749.156963,315.391795831,376
272500,-118738.803209,316.328977883,376
275000,-120085.344579,311.921165192,376
277500,-120020.581507,316.896667897,375
280000,-119937.949554,316.042246408,375
282500,-119717.66959,315.015913463,375
285000,-119977.287107,313.117596485,375
287500,-120613.837517,313.844647287,375
290000,-120702.84585,309.401768429,375
292500,-119800.961297,319.583876333,375
295000,-119894.23287,314.425148279,374
297500,-119612.213139,314.024562035,374
300000,-120682.979051,312.283203506,374
302500,-120141.054751,319.829105136,374
305000,-119912.899893,315.076893391,374
307500,-120456.43492,317.146205936,374
310000,-119888.275862,317.464421677,374
312500,-120601.762488,309.596285572,374
315000,-120023.61262,314.186249445,374
317500,-120071.956177,313.516516051,373
320000,-119868.820841,311.811794629,373
322500,-119299.233541,316.330492804,373
325000,-120292.137142,317.226726401,373
327500,-120695.701204,315.563626507,373
330000,-119888.501284,315.244766236,373
332500,-120174.221007,316.501697771,373
335000,-120276.942833,315.608421657,373
337500,-119372.434591,313.068283944,373
340000,-120744.387712,314.204257487,372
342500,-120509.363795,314.142194979,372
345000,-120974.536726,311.593912113,372
347500,-120613.623128,316.195790355,372
350000,-119638.855769,313.298028466,372
352500,-120042.36684,312.98272945,372
355000,-120404.563492,315.477442289,372
357500,-120042.441089,314.572599792,372
360000,-120217.584412,313.79933527,372
362500,-119764.679921,316.672648118,372
365000,-119995.343714,316.057252251,372
367500,-119968.520731,310.762227706,372
370000,-119798.041927,314.081292866,372
372500,-119799.549302,318.742741495,371
375000,-120356.637015,314.428898024,371
377500,-120417.066012,314.440473046,371
380000,-119228.392428,315.113113715,371
382500,-119846.534931,313.959061442,371
385000,-118981.861762,313.208774828,371
387500,-120072.037294,320.169690274,371
390000,-120413.111914,311.135448403,371
392500,-120968.969754,310.276158913,371
395000,-120587.239508,313.258843656,371
397500,-119910.546252,316.988651113,371
400000,-120442.599892,310.591956337,371
402500,-119918.771366,314.496461873,371
405000,-119687.702922,309.315396803,371
407500,-120723.497251,316.67489,371
410000,-120260.661125,313.769026454,371
412500,-119649.372748,310.11283769,371
415000,-120226.029608,311.976274604,370
417500,-119961.265155,315.066089158,370
420000,-120138.121092,312.752159051,370
422500,-120039.040227,314.841715841,370
425000,-120367.339381,312.182454978,370
427500,-120260.815193,312.115723139,370
430000,-119614.422545,312.006853597,370
432500,-120246.595392,317.820864401,370
435000,-120108.494418,316.040891798,370
437500,-119909.191381,312.716677125,370
440000,-119648.983593,315.97094796,370
442500,-119924.600642,312.091957161,370
445000,-120006.983549,312.702291645,370
447500,-120514.481726,314.488784543,370
450000,-120190.810001,312.129918275,370
452500,-119860.001744,315.090999156,370
455000,-121268.982957,313.819556286,370
457500,-119993.289403,306.387163016,370
460000,-119422.543729,313.166156868,370
462500,-119314.045776,314.687435955,370
465000,-119186.207028,315.222382217,370
467500,-119371.812735,312.006270949,369
470000,-120548.776008,318.026035591,369
472500,-119253.033661,313.968282822,369
475000,-119922.92864,317.605748726,369
477500,-119682.120196,317.746244448,369
480000,-120578.886323,312.633084555,369
482500,-119645.436965,314.178057323,369
485000,-120649.923693,315.281252607,369
487500,-120601.129074,313.40252046,369
490000,-119250.296284,312.298787226,369
492500,-120190.518022,311.372211151,369
495000,-119997.948618,313.899051582,369
497500,-120157.162704,315.0230684,369
500000,-119864.488555,314.393309373,369
502500,-120755.154479,316.093166802,369
505000,-119661.864957,318.167107837,369
507500,-120896.836368,311.257067514,369
510000,-120535.297761,316.493135058,369
512500,-120711.390297,316.435872568,369
515000,-120649.771972,311.439177272,369
517500,-120068.084873,311.82264095,369
520000,-120064.215871,311.335702941,369
522500,-119894.302734,312.964537024,369
525000,-119928.419491,313.258715795,369
527500,-119136.145927,314.339059787,369
530000,-119722.402257,316.490199557,369
532500,-119836.889899,311.598832494,369
535000,-119553.209235,312.640785312,369
537500,-120192.475234,311.387961934,369
540000,-119124.494034,309.947458649,369
542500,-120619.201922,316.366293241,368
545000,-119421.645236,315.323668362,369
547500,-119989.356594,318.624580082,368
550000,-119612.500189,314.181751055,368
552500,-120118.746427,318.977111128,368
555000,-120225.93929,313.270609657,368
557500,-119550.946961,319.105091,368
560000,-119786.405865,313.74445867,368
562500,-119477.824864,317.294262852,368
565000,-119830.578898,313.570353236,368
567500,-121003.261102,314.098382809,368
570000,-120612.300925,316.34481812,368
572500,-120692.908671,312.660934028,368
575000,-120886.348164,314.042536294,368
577500,-120115.03705,317.602100366,368
580000,-120305.03201,312.459715235,368
582500,-119702.143242,315.593062121,368
585000,-118926.529488,314.910003531,368
587500,-119548.475277,313.912008577,368
590000,-119562.207301,316.889452218,368
592500,-120312.680244,313.426060341,368
595000,-120181.31445,316.306005128,368
597500,-120110.273451,312.819305824,368
600000,-120080.840411,311.626608167,368
602500,-119806.616782,311.767639496,368
605000,-120436.558989,313.338746411,368
607500,-120548.177027,312.979530807,368
610000,-120212.423232,313.632352932,368
612500,-119400.793851,311.116182224,368
615000,-119987.396088,312.437175915,368
617500,-119874.864986,310.27642435,368
620000,-120334.72435,312.103368493,368
622500,-119510.596601,315.24682247,368
625000,-120375.455525,316.635632887,368
627500,-119992.875371,309.698562901,368
630000,-119714.655316,315.654448878,368
632500,-120010.958792,316.483291954,368
635000,-119434.488767,317.004057608,368
637500,-119932.318123,313.91487467,368
640000,-119594.897243,315.909280226,368
642500,-120385.391235,313.558018159,368
645000,-120034.340552,312.85455521,368
647500,-119983.573676,314.196487722,368
650000,-119976.694289,315.1895629,368
652500,-119702.334697,317.871526479,368
655000,-121392.174005,315.51741388,368
657500,-120562.619899,317.473243923,368
660000,-119478.612175,310.679796557,368
662500,-120556.263573,313.830577432,368
665000,-118991.788983,312.827667163,368
667500,-120290.785186,315.318194415,368
670000,-119986.356917,316.964750782,368
672500,-119404.217748,311.876053562,368
675000,-120332.644493,310.445626304,368
677500,-120218.571354,314.011963715,368
680000,-120929.901212,312.902190216,368
682500,-120275.460596,317.160143389,368
685000,-119710.874937,312.41256226,368
687500,-120025.502259,312.817854747,368
690000,-119797.696071,310.08128825,368
692500,-120162.705739,319.557440556,368
695000,-120392.076933,318.410834678,368
697500,-120468.984299,314.615194668,368
700000,-120160.478078,315.096857589,368
702500,-120082.03137,312.307658009,367
705000,-120090.529722,314.334289371,367
707500,-120242.571127,316.657881541,367
710000,-120729.011156,316.298013479,367
712500,-119189.541453,319.153250751,367
715000,-120248.381926,315.287494269,367
717500,-120081.968537,310.773879138,367
720000,-119974.964813,311.502162666,367
722500,-120225.491064,317.595070603,367
725000,-120232.792023,318.799393482,367
727500,-119986.094709,311.607926284,367
730000,-122085.749427,317.629950499,367
732500,-119637.852954,318.22857984,367
735000,-121186.562982,313.757049677,367
737500,-120057.578146,316.700710583,367
740000,-119379.552194,315.395372487,367
742500,-120587.621488,316.067581834,367
745000,-119777.536485,315.077800835,367
747500,-120520.781434,310.507009803,367
750000,-120022.481369,318.864619803,367
752500,-119636.938639,312.099727911,367
755000,-120552.160092,314.776313476,367
757500,-120044.587754,318.75843346,367
760000,-120548.401645,314.089882611,367
762500,-120182.705045,311.802754222,367
765000,-119290.514707,313.568433839,367
767500,-119701.858423,312.723782158,367
770000,-120209.460097,311.992481643,367
772500,-119462.523428,316.382689547,367
775000,-120565.210577,313.411642105,367
777500,-119617.678725,308.635552415,367
780000,-120232.87814,310.742296217,367
782500,-120293.063502,312.532122004,367
785000,-120014.450414,316.013597149,367
787500,-120765.570074,313.958418331,367
790000,-120216.474852,313.514596494,367
792500,-119170.728089,313.291658018,367
795000,-120134.026916,313.680522444,367
797500,-119218.724656,320.642385153,367
800000,-120067.380941,313.872045318,367
802500,-120278.549007,311.628429191,367
805000,-119503.522471,315.459254995,367
807500,-120457.955983,318.122753728,367
810000,-120316.919785,311.999321994,367
812500,-119838.648041,318.334078266,367
815000,-119926.943178,315.73289693,367
817500,-119505.648978,313.803292574,367
820000,-120482.801024,309.274181057,367
822500,-120104.23459,314.148612821,367
825000,-119747.137676,311.556374208,367
827500,-120175.201626,314.352304391,367
830000,-119846.599945,311.273768044,367
832500,-119866.21768,313.977405305,367
835000,-120829.450485,313.450484586,367
837500,-120238.118919,315.158515663,367
840000,-119988.362701,317.186619759,367
842500,-120041.842669,316.941592327,367
845000,-119653.763638,313.619694293,367
847500,-119271.450266,315.77000423,367
850000,-120140.797215,316.198136873,367
852500,-118752.310856,315.186635481,367
855000,-119618.611198,316.327560786,367
857500,-119431.644034,311.682270409,367
860000,-119864.204732,315.597459088,367
862500,-120459.560215,315.184150053,367
865000,-119919.288553,314.94650941,367
867500,-119962.17976,314.983465835,367
870000,-120054.743885,317.049367877,367
872500,-120180.866355,315.962328994,367
875000,-119130.394313,313.153139858,367
877500,-120675.66645,316.061800432,367
880000,-120546.659616,315.766910765,367
882500,-119700.712944,313.516903052,367
885000,-120509.254131,313.135519245,367
887500,-120186.024889,314.006036957,367
890000,-119536.907085,316.315306213,367
892500,-119207.671389,311.697306565,367
895000,-120003.511757,313.437013066,367
897500,-120233.727748,312.261418054,367
900000,-119631.323119,319.997463163,367
902500,-120613.089682,311.695120055,367
905000,-119362.724848,312.21683808,367
907500,-119949.619855,310.046764218,367
910000,-119919.518017,317.231874359,367
912500,-120300.205461,311.949565318,367
915000,-118950.639811,314.85271328,367
917500,-119590.716425,313.7364352,367
920000,-120801.629326,315.166673413,367
922500,-119602.105273,315.917127947,367
925000,-119911.73742,314.7337315,367
927500,-119783.766097,316.312146063,367
930000,-119460.213574,312.856856887,367
932500,-120101.982858,315.602794975,367
935000,-120470.736049,311.252868904,367
937500,-119107.231224,317.671929858,367
940000,-119776.758733,315.323051926,367
942500,-119626.831086,317.711266452,367
945000,-119986.091539,310.758886222,367
947500,-119593.890242,311.13116546,367
950000,-120517.219486,314.589131955,367
952500,-119970.815868,313.11092953,367
955000,-120030.119465,310.8121592,367
957500,-120075.571233,313.728287569,367
960000,-120452.390374,312.453624076,367
962500,-120485.4494,308.987462591,367
965000,-120578.024786,316.882947978,367
967500,-121134.966166,311.698023799,367
970000,-119821.453526,315.006983316,367
972500,-120579.535599,312.228666693,367
975000,-120250.099136,318.874457126,367
977500,-120217.628735,316.254141676,367
980000,-119381.151533,315.372605842,367
982500,-120082.396791,315.791264379,367
985000,-119758.316559,312.791225688,367
987500,-120598.984478,311.333874048,367
990000,-120631.578723,315.281461237,367
992500,-119332.75954,315.740626015,367
995000,-119840.995766,315.322675801,367
997500,-120140.624772,313.066010984,367
1000000,-120382.280024,313.174958931,367
1002500,-119786.422982,311.152096519,367
1005000,-119844.880952,314.360258499,367
1007500,-119682.029066,314.296261411,367
1010000,-119521.2301,313.646494822,367
1012500,-120337.830287,315.592981991,367
1015000,-119188.468517,313.446308491,367
1017500,-120087.241787,317.740505028,367
1020000,-120444.134409,312.796850721,367
1022500,-119640.020224,312.942201203,367
1025000,-119788.33697,317.284279044,367
1027500,-119959.059505,315.736857411,367
1030000,-120218.789841,314.700798993,367
1032500,-119793.662057,311.455557687,367
1035000,-120076.868474,312.041505481,367
1037500,-120391.347655,307.205281347,367
1040000,-119532.632377,313.202021468,367
1042500,-120318.794859,313.309190317,367
1045000,-120419.06257,313.813993784,367
1047500,-118958.454546,314.22834249,367
1050000,-119676.038271,311.414267038,367
1052500,-119692.706482,314.605952333,367
1055000,-120067.273162,311.531103892,367
1057500,-119358.057095,314.564409115,367
1060000,-119049.513752,312.521258807,367
1062500,-119728.281421,313.315726752,367
1065000,-120030.998313,314.636890633,367
1067500,-119970.677505,314.042932499,367
1070000,-119389.621196,312.428643109,367
1072500,-119745.834729,319.10468878,367
1075000,-119917.706619,316.750459055,367
1077500,-119392.057877,317.576938734,367
1080000,-119806.987646,312.87617879,367
1082500,-119879.150586,312.680227565,367
1085000,-120221.896307,313.854297599,367
1087500,-120313.581361,318.396285422,367
1090000,-120369.539042,310.931534142,367
1092500,-119762.3058,313.849929581,367
1095000,-119116.152691,315.820983594,367
1097500,-119892.975541,317.418800293,367
1100000,-119861.091676,314.770690313,367
1102500,-120079.194014,313.176161238,367
1105000,-119965.596762,312.889964222,367
1107500,-120208.030023,313.042374189,367
1110000,-120219.486116,310.768304638,367
1112500,-120676.076813,314.588712503,367
1115000,-119253.23414,313.387755794,367
1117500,-121145.340775,313.413610343,367
1120000,-120027.054114,312.398723522,367
1122500,-120133.577699,315.446903958,367
1125000,-119541.097164,315.770573529,367
1127500,-120996.091641,313.080340347,367
1130000,-119396.515479,316.479016428,367
1132500,-119663.112074,314.310134672,367
1135000,-120112.36667,312.400528219,367
1137500,-119766.866031,316.200133569,367
1140000,-120372.109098,310.790933258,367
1142500,-120329.415932,315.047419229,367
1145000,-120572.321586,312.102567224,367
1147500,-119809.747081,315.317776636,367
1150000,-119200.073995,313.575214775,367
1152500,-119755.612549,313.189060352,367
1155000,-119612.854139,313.54495814,367
1157500,-120194.222143,312.950119818,367
1160000,-120510.755077,312.712098817,367
1162500,-120037.952509,308.549855023,367
1165000,-119970.419826,315.527366651,367
1167500,-120034.899295,312.143087613,367
1170000,-120088.720757,312.043085632,367
1172500,-120036.915664,315.049570139,367
1175000,-120500.967525,314.188216808,367
1177500,-121056.094342,315.757742183,367
1180000,-120560.963501,318.009072964,367
1182500,-120678.444865,314.060292821,367
1185000,-119969.117124,316.293474768,367
1187500,-120303.842767,313.8727967,367
1190000,-119791.797153,315.02897412,367
1192500,-119660.788912,315.525507422,367
1195000,-119331.348654,313.863390326,367
1197500,-119653.903038,316.374534152,367
1200000,-121005.682252,316.142379477,367
1202500,-119735.461877,313.641293693,367
1205000,-120023.721981,314.490602185,367
1207500,-119853.864576,313.015506342,367
1210000,-119959.417126,315.408310543,367
1212500,-119769.159269,318.453492418,367
1215000,-119833.278851,316.274904309,367
1217500,-120194.908895,313.37705726,367
1220000,-119739.609757,315.225209732,367
1222500,-120828.143448,312.996543728,367
1225000,-119757.25257,311.652023116,367
1227500,-119677.847978,317.017051027,367
1230000,-120582.370406,312.499950932,367
1232500,-120749.974204,319.484838261,367
1235000,-120959.635195,314.187985038,367
1237500,-120386.954807,315.517656114,367
1240000,-120488.708527,312.698162494,367
1242500,-119100.440922,308.823419019,367
1245000,-119776.330855,308.743393035,367
1247500,-119259.507381,315.997989737,367
1250000,-121494.134272,314.849178756,367
1252500,-119994.787246,317.23947475,367
1255000,-119619.486418,314.946266561,367
1257500,-120027.063237,313.998451597,367
1260000,-120137.913801,310.81489345,367
1262500,-119770.64092,314.827002053,367
1265000,-120137.71892,314.729816906,367
1267500,-119084.183679,312.677452914,367
1270000,-120017.126973,312.693280419,367
1272500,-119656.56536,317.219793644,367
1275000,-119545.28207,312.499265144,367
1277500,-120721.008183,314.382174916,367
1280000,-119676.381305,315.313191191,367
1282500,-119958.921637,315.998710954,367
1285000,-120200.597897,316.665698794,367
1287500,-120106.652994,315.535350477,367
1290000,-120648.728089,316.195078757,367
1292500,-119625.688573,313.799268892,367
1295000,-119320.41387,316.376845093,367
1297500,-120114.699963,312.695073346,367
1300000,-119840.865981,313.798980508,367
1302500,-120539.663881,314.511326675,367
1305000,-120181.594078,312.523467576,367
1307500,-120484.320596,312.243630871,367
1310000,-119993.360423,311.229409499,367
1312500,-119485.555244,316.637736164,367
1315000,-119194.345346,309.474071491,367
1317500,-119792.593327,315.428251145,367
1320000,-119579.615643,313.294568707,367
1322500,-119996.193661,315.672214816,367
1325000,-120604.110021,315.160914445,367
1327500,-119855.972802,313.842368395,367
1330000,-119913.30983,314.11755188,367
1332500,-119446.332461,314.738672374,367
1335000,-120370.912773,317.178853239,367
1337500,-119940.348959,314.532175198,367
1340000,-120168.569553,314.554664059,367
1342500,-120868.241434,314.030231743,367
1345000,-120050.749953,319.463746775,367
1347500,-119757.340738,316.990831475,367
1350000,-120239.777423,312.996826834,367
1352500,-120866.161939,311.474100913,367
1355000,-119854.786814,310.288557859,367
1357500,-120157.956123,313.281740993,367
1360000,-120230.828497,319.368865057,367
1362500,-120397.177329,313.07779333,367
1365000,-120609.295203,314.726879776,367
1367500,-120285.717687,308.685439977,367
1370000,-121290.098649,313.82541303,367
1372500,-120272.373722,314.139778478,367
1375000,-120471.671976,316.394698072,367
1377500,-120066.985812,312.908784636,367
1380000,-120028.574992,314.45008366,367
1382500,-119748.116844,309.376978397,367
1385000,-120537.06456,314.76115789,367
1387500,-119990.195705,320.9265933,367
1390000,-120847.766293,308.652413143,367
1392500,-120551.339714,316.056578569,367
1395000,-119583.282183,317.573643734,367
1397500,-119816.157674,314.966362624,367
1400000,-120677.658702,317.488109232,367
1402500,-120349.283953,317.964855227,367
1405000,-120810.180881,314.878801965,367
1407500,-120056.008134,310.943459753,367
1410000,-120714.292026,313.181166235,367
1412500,-120526.474118,312.974430811,367
1415000,-119787.18718,312.288724163,367
1417500,-119971.904997,313.098298617,367
1420000,-120450.663841,319.12578776,367
1422500,-120702.808103,317.578191055,367
1425000,-120201.523448,317.109984643,367
1427500,-120254.642906,316.253101816,367
1430000,-119469.626067,320.529849513,367
1432500,-119842.894878,307.277332043,367
1435000,-121126.584025,312.672117876,367
1437500,-120455.808667,312.59965312,367
1440000,-120271.992033,316.879418876,367
1442500,-119632.904467,311.652298226,367
1445000,-120236.841124,311.831618794,367
1447500,-119414.134497,316.118846158,367
1450000,-120101.373012,314.834856421,367
1452500,-119805.749617,315.12415346,367
1455000,-120348.000215,315.132899953,367
1457500,-120915.706253,317.834821886,367
1460000,-120404.481898,313.655906336,367
1462500,-120224.754614,317.945407776,367
1465000,-120510.761473,312.532225928,367
1467500,-120925.165068,317.792301111,367
1470000,-119858.555794,317.260333794,367
1472500,-120342.014436,315.393358196,367
1475000,-120043.139274,315.322624387,367
1477500,-120201.927695,312.311385615,367
1480000,-120721.398018,312.954517414,367
1482500,-120871.590649,313.697153405,367
1485000,-120474.196036,317.001461584,367
1487500,-120445.636488,315.077147438,367
1490000,-120663.996209,312.613370525,367
1492500,-120718.522607,315.69964396,367
1495000,-120259.400885,317.071434193,367
1497500,-120276.552814,316.308675542,367
1500000,-120401.246546,316.308396396,367
1502500,-120835.73671,314.315103607,367
